"Name","Data Field","Data Entity","Description","API and/or CSV","Example Value","Notes"
"Person - Gender","gender","Person","Gender of person","API + CSV","female","Female"
"Person - Last Name","last_name","Person","Last name of person","API + CSV","Hendricks",""
"Person - LinkedIn","linkedin_url","Person","LinkedIn URL of person","API + CSV","",""
"Person - Logo URL","logo_url","Person","Image URL of person","CSV","",""
"Person - Name","name","Person","Full name of person","API + CSV","",""
"Person - Permalink","permalink","Person","ID used to identify the person","API + CSV","",""
"Person - Rank","rank","Person","Algorithmic rank assigned to the top 100,000 most active people","API + CSV","",""
"Person - Region","region","Person","Region of Person","CSV","Calfornia","In the API this is found in location_identifiers"
"Person - State Code","state_code","Person","Code of Person's location","CSV","CA","State codes only for USA and CAN; In the API this is found in location_identifiers"
"Person - Twitter","twitter_url","Person","URL to person's Twitter","API + CSV","",""
"Person - Type","type","Person","Type of entity","CSV","person","Will always be people in bulk export"
"Person - Updated At","updated_at","Person","Last time of update","API + CSV","",""
"Person - UUID","uuid","Person","Unique Crunchbase ID of person","API + CSV","43ac6c2f-65ec-5b40-89d6-ab9d4c4988ef",""
